TimeToRunTests,NoOfWarnings,CodeCoverage,CyclomaticComplexity,SecurityIssuesCount,isCodeDuplication,getFinalDecision

1.682,13,0.0,1,27,0,No Go
0.992,13,0.0,1,27,0,No Go
1.069,13,0.0,1,27,0,No Go
2.039,13,0.0,1,27,0,No Go
0.889,13,0.0,1,27,0,No Go
0.856,13,71.0,1,27,0,No Go
0.834,13,71.0,1,27,0,No Go
0.829,13,71.0,1,27,0,No Go
0.855,13,71.0,1,27,0,No Go
0.846,13,71.0,1,27,0,No Go
0.834,13,71.0,1,27,0,No Go
0.829,13,71.0,1,27,0,No Go
0.821,13,71.0,1,27,0,No Go
0.433,1,51.0,3,3,0,No Go
0.0,44,0.0,9,43,0,No Go
0.0,1,51.0,3,3,0,No Go
0.0,1,51.0,3,3,0,No Go
0.0,1,51.0,3,3,0,No Go
0.0,1,51.0,3,3,0,No Go
0.0,1,51.0,3,3,0,No Go
0.0,6,0.0,5,19,8,No Go
0.0,1,51.0,3,3,0,No Go
0.0,1,51.0,3,3,0,No Go
0.0,1,51.0,3,3,0,No Go
0.0,1,51.0,3,3,0,No Go
0.0,1,51.0,3,3,0,No Go